state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,93,30100,150600,6.3,1974,48,31,0.486862442,60,11.63330787,68,0.056790123,0.237953007,0.622062923,6593,6312,131,17460,32122975
39,93,50100,155400,6.8,1980,82,38,0.626058152,87,10.42619746,45.77028348,0.034685479,0.240566038,0.738850772,3052,3045,0,17460,7833559
39,93,50200,151900,6.6,1967,81,53,0.551758461,82,22.00116043,58.0353931,0.072760072,0.247675716,0.701375976,3616,3281,23,17460,4830157
39,93,50300,205600,6.8,1986,79,52,0.621366497,77,9.073192129,72.79358316,0.029418857,0.285478548,0.641419142,8044,7495,85,17460,20939190
39,93,50400,131400,6,1950,34,40,0.579688286,53,11,64,0.091934085,0.18375576,0.748271889,2384,2329,0,17460,3109896
39,93,57100,151300,6.2,1958,61,29,0.57089436,67,19.66171004,59.30058417,0.022379913,0.190442478,0.712212389,3801,3704,20,17460,70512313
39,93,60100,145700,5.5,1966,25,49,0.491743725,59,46.6910266,42,0.018804567,0.372805227,0.509187423,3729,2553,793,17460,18422288
39,93,60200,178500,6.6,1951,69,60,0.552732406,50,48.98116871,42,0.064574973,0.619387755,0.346938776,5378,4140,517,17460,13757432
39,93,70101,133300,6.7,1963,63,34,0.62992652,60,34.85205784,57.20439377,0.024390244,0.27413273,0.640271493,3492,3105,264,17460,4764214
39,93,70102,117300,6.1,1970,32,19,0.603815439,69,24.22224278,60.80532939,0.059147686,0.281580412,0.626321647,5460,4312,480,17460,3784658
39,93,70200,114100,5.4,1959,32,10,0.63597299,56,34.2659409,28.46345257,0.032818533,0.170431211,0.715263518,1972,1717,115,17460,7941067
39,93,70300,95700,5,1973,17,11,0.5812,56,34.27649208,31.24725944,0.023399862,0.107158542,0.795783926,3218,2599,401,17460,10400820
39,93,70400,78400,5.5,1956,31,9,0.671368861,36,27.95288945,29.62102178,0.077643387,0.086520376,0.772413793,4836,3143,1116,17460,5969536
39,93,70500,61500,5.8,1939,9,7,0.575331772,26,28.09587341,25.60564691,0.070556309,0.051463645,0.751180359,3307,2483,598,17460,1857176
39,93,70600,97900,5.8,1955,60,40,0.638030888,40,45.34949944,38.70589544,0.071104387,0.191883902,0.711636657,4804,4118,215,17460,2999817
39,93,70700,75800,5.6,1947,33,28,0.658923513,35,48.93037975,36,0.085788562,0.070547945,0.804109589,2404,2029,226,17460,2371541
39,93,70800,75400,3.2,1961,1,12,0.468531469,2,23,23,0.119402985,0.015625,0.686079545,1027,722,228,17460,936190
39,93,70901,57800,4.9,1957,1,17,0.531702899,9,19.59927798,25.19584838,0.226575809,0.025423729,0.646489104,1944,874,750,17460,7777690
